rid,complete,start,end,duration,uniq,qra,qcheck,q1t,q1a,q1t2,q1b,q2t,q2a,q2t2,q2b,q3t,q3a,q3t2,q3b,q4t,q4a,q4t2,q4b,q5t,q5a,q5t2,q5b,q6t,q6a,q6t2,q6b,q7t,q7a,q7t2,q7b,q8t,q8a,q8t2,q8b,q9t,q9a,q9t2,q9b,q10t,q10a,q10t2,q10b,q11t,q11a,q11t2,q11b,q12t,q12a,q12t2,q12b,q13t,q13a,a13t2,q13b,q14t,q14a,q14t2,q14b,q15t,q15a,q15t2,q15b,q16t,q16a,q16t2,q16b,q17t,q17a,q17t2,q17b,q18t,q18a,q18t2,q18b
169,COMPLETED,10/7/2009 11:37,10/7/2009 11:38,82,1r855619,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254940697,2,25,more people would be saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,COMPLETED,10/7/2009 11:42,10/7/2009 11:43,70,1r561719,4,5,,,,,,,,,,,,,1254941005,2,33,I am optimistic that although the odds are against us we will prevail and no one will die.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,COMPLETED,10/7/2009 11:52,10/7/2009 11:53,68,1r547989,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254941590,2,22,1/3 just seems to be a little better,,,,,,,,,,,,,,,,,,,,
173,COMPLETED,10/7/2009 12:00,10/7/2009 12:03,156,1r540377,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254942117,2,71,neither answer matched the descriptions above but the 2nd description seemed more acceptable so I figured the 2nd answer would better fit my choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,COMPLETED,10/7/2009 12:07,10/7/2009 12:08,65,1r399551,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1254942483,2,27,I would favor a system where there is a chance that all the people could be saved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,COMPLETED,10/7/2009 12:09,10/7/2009 12:10,84,1r481600,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254942631,2,27,I would rather select the option that has some people saved than the majority not being saved.,,,,
176,COMPLETED,10/7/2009 12:16,10/7/2009 12:19,147,1r299462,3,5,,,,,,,,,1254943091,1,52,I would take the sure thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,COMPLETED,10/7/2009 12:18,10/7/2009 12:19,71,1r346216,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254943124,1,34,"That sounds like a definite, the B sounds too much of a maybe, even if the numbers sound better.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,COMPLETED,10/7/2009 12:20,10/7/2009 12:25,278,1r412574,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254943434,2,73,Both answer is the same as I see it. There is no wrong or right answer.,,,,,,,,,,,,,,,,
179,COMPLETED,10/7/2009 12:21,10/7/2009 12:22,68,1r365953,6,3,,,,,,,,,,,,,,,,,,,,,1254943326,1,9,some die some live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,COMPLETED,10/7/2009 12:24,10/7/2009 12:26,90,1r776374,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254943536,1,39,four hundered is  better than the one -third,,,,,,,,,,,,,,,,,,,,,,,,
181,COMPLETED,10/7/2009 12:32,10/7/2009 12:37,257,1r341806,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254944071,1,160,"I think if there is a chance of saving everyone....instead of only 200, it may be worth the risk.  After all it was expected to kill 600 people anyway.",,,,
182,COMPLETED,10/7/2009 12:34,10/7/2009 12:36,71,1r519840,3,5,,,,,,,,,1254944131,2,33,"even though choice a is gaurenteed, Bwould save more if it worked!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,COMPLETED,10/7/2009 12:37,10/7/2009 12:39,85,1r594283,6,5,,,,,,,,,,,,,,,,,,,,,1254944352,1,10,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,COMPLETED,10/7/2009 13:02,10/7/2009 13:04,84,1r675183,1,5,1254945807,2,42,I prefer to save as many people as possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,COMPLETED,10/7/2009 13:02,10/7/2009 13:04,68,1r808142,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254945822,2,18,1/3 no one will die,,,,,,,,
187,COMPLETED,10/7/2009 13:05,10/7/2009 13:06,65,1r374396,4,5,,,,,,,,,,,,,1254945970,1,22,less people dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,COMPLETED,10/7/2009 13:07,10/7/2009 13:07,38,1r371560,5,5,,,,,,,,,,,,,,,,,1254946044,1,20,being sure of people saved is better than taking a chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,COMPLETED,10/7/2009 13:18,10/7/2009 13:21,207,1r1027788,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254946746,1,160,because program B is an absolute probability of 400 people dying whereas program A has a 66.6% chance that 600 people die. Therefore there is a 33.3% chance that less than 600 die. This could even be zero
190,COMPLETED,10/7/2009 13:22,10/12/2009 13:43,433262,1r414022,1,5,1255380147,1,38,"I would rather be assured that people will be saved, with a known successful program, than take a chance that no one will be saved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,COMPLETED,10/7/2009 13:23,10/7/2009 13:25,70,1r337499,2,5,,,,,1254947041,1,59,twi thirds is 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,COMPLETED,10/7/2009 13:27,10/7/2009 13:28,78,1r732172,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254947307,2,23,either one is correct,,,,,,,,,,,,,,,,,,,,,,,,
193,COMPLETED,10/7/2009 13:34,10/7/2009 13:36,104,1r536069,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254947748,1,30,the object is to save the most people,,,,
194,COMPLETED,10/7/2009 13:39,10/7/2009 13:40,90,1r68529,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254948009,2,36,"Program A has the chance of not saving anyone, so I chose the one that would at least save 200.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,COMPLETED,10/7/2009 13:39,10/7/2009 13:40,78,1r377345,6,5,,,,,,,,,,,,,,,,,,,,,1254948028,2,11,not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,COMPLETED,10/7/2009 13:39,10/7/2009 13:40,48,1r558459,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254948026,1,8,less people die,,,,,,,,,,,,,,,,
198,COMPLETED,10/7/2009 13:49,10/7/2009 13:50,45,1r44486,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254948601,2,11,less people would die
199,COMPLETED,10/7/2009 13:53,10/7/2009 13:54,88,1r64913,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254948838,2,31,Better to for sure save 200 than to possibly not save any.,,,,
201,COMPLETED,10/7/2009 14:01,10/7/2009 14:02,70,1r373894,3,5,,,,,,,,,1254949336,1,35,it is better to NOT gamble with lives on uncerftain treatments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,COMPLETED,10/7/2009 14:05,10/7/2009 14:06,64,1r329913,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254949555,2,25,It seem to be more precise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,COMPLETED,10/7/2009 14:10,10/7/2009 14:11,54,1r243493,3,5,,,,,,,,,1254949858,1,21,I'd rather some people be saved and with B it is more likely that no one would be saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,COMPLETED,10/7/2009 14:12,10/12/2009 17:16,443041,1r980582,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254949963,2,443002,,,,,,,,,,,,,,,,,,,,,,,,,
206,COMPLETED,10/7/2009 14:16,10/7/2009 14:17,84,1r435094,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254950228,1,36,i would like to see people saved immediatly,,,,,,,,,,,,
207,COMPLETED,10/7/2009 14:19,10/7/2009 14:20,83,1r503203,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254950416,2,14,spare the people,,,,,,,,
208,COMPLETED,10/7/2009 14:19,10/7/2009 14:34,889,1r442202,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254951247,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,COMPLETED,10/7/2009 14:32,10/7/2009 14:34,85,1r289136,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254951228,2,34,Saving everyone is worth the risk.,,,,,,,,,,,,,,,,,,,,,,,,
210,COMPLETED,10/7/2009 14:33,10/7/2009 14:35,138,1r516313,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254951260,2,58,"The answer to each question is the same.  Either way, the loss is 400 people, however, question B is a CHANCE of losing those people.  Question A, there is a certainty of losing those people.",,,,,,,,,,,,,,,,,,,,
211,COMPLETED,10/7/2009 14:38,10/7/2009 14:44,328,1r381190,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254951595,2,248,400 people could die in option A   I prefer to gamble on saving more,,,,,,,,,,,,,,,,,,,,,,,,
212,COMPLETED,10/7/2009 14:43,10/7/2009 14:44,41,1r234421,4,5,,,,,,,,,,,,,1254951857,2,11,makes sense to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,COMPLETED,10/7/2009 14:45,10/7/2009 14:46,82,1r1054360,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254951971,1,25,THE GREATER SURVIVAL FOR THAT PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,COMPLETED,10/7/2009 14:48,10/7/2009 14:49,17,1r655966,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254952140,1,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,COMPLETED,10/7/2009 15:03,10/7/2009 15:04,80,1r545791,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254953043,2,22,they are both the same. so I took the fractions.,,,,,,,,,,,,,,,,,,,,,,,,
216,COMPLETED,10/7/2009 15:22,10/7/2009 15:24,111,1r573443,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254954200,1,42,The risk is higher but the payoff is higher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,COMPLETED,10/7/2009 15:37,10/7/2009 15:43,352,1r1039218,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254955093,1,301,"Program A will save 200 people. Program B has less than a 50% chance of saving anybody. Program B is not ready to be used and more work needs to be done to improve the product.  At least with the 1st program, 200 people will be definitley saved . I voted for A because peoples lives are not worth a risk . People should not be considered expendable based on projections of what ""might"" work. I say go with a product that will work, if even for only part of the population. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,COMPLETED,10/7/2009 15:42,10/7/2009 15:44,107,1r352222,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254955454,2,23,Program A may mean none are saved,,,,
219,COMPLETED,10/7/2009 15:47,10/7/2009 15:49,109,1r554568,6,5,,,,,,,,,,,,,,,,,,,,,1254955732,2,44,"About the same number of people die either way for sure but there is a chance for more to live in ""B"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,COMPLETED,10/7/2009 15:50,10/7/2009 15:51,65,1r526473,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254955860,2,21,Some risk but biggest  gain.,,,,,,,,,,,,,,,,,,,,
222,COMPLETED,10/7/2009 15:56,10/7/2009 15:57,79,1r619287,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254956224,1,36,200 people positively being saved is better than maybe 200 hundred being saved,,,,,,,,,,,,,,,,,,,,
223,COMPLETED,10/7/2009 15:58,10/7/2009 15:59,75,1r988931,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254956324,2,44,Because of the chance that all lives would be saved.  Also because I could not accept the possibility that 400 lives could possibly be lost.,,,,,,,,
224,COMPLETED,10/7/2009 16:18,10/7/2009 16:22,198,1r649922,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254957676,1,51,the ultimate toll probably is less than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
